RegionID,SizeRank,RegionName,RegionType,StateName,1/13/18,1/20/18,1/27/18,2/3/18,2/10/18,2/17/18,2/24/18,3/3/18,3/10/18,3/17/18,3/24/18,3/31/18,4/7/18,4/14/18,4/21/18,4/28/18,5/5/18,5/12/18,5/19/18,5/26/18,6/2/18,6/9/18,6/16/18,6/23/18,6/30/18,7/7/18,7/14/18,7/21/18,7/28/18,8/4/18,8/11/18,8/18/18,8/25/18,9/1/18,9/8/18,9/15/18,9/22/18,9/29/18,10/6/18,10/13/18,10/20/18,10/27/18,11/3/18,11/10/18,11/17/18,11/24/18,12/1/18,12/8/18,12/15/18,12/22/18,12/29/18,1/5/19,1/12/19,1/19/19,1/26/19,2/2/19,2/9/19,2/16/19,2/23/19,3/2/19,3/9/19,3/16/19,3/23/19,3/30/19,4/6/19,4/13/19,4/20/19,4/27/19,5/4/19,5/11/19,5/18/19,5/25/19,6/1/19,6/8/19,6/15/19,6/22/19,6/29/19,7/6/19,7/13/19,7/20/19,7/27/19,8/3/19,8/10/19,8/17/19,8/24/19,8/31/19,9/7/19,9/14/19,9/21/19,9/28/19,10/5/19,10/12/19,10/19/19,10/26/19,11/2/19,11/9/19,11/16/19,11/23/19,11/30/19,12/7/19,12/14/19,12/21/19,12/28/19,1/4/20,1/11/20,1/18/20,1/25/20,2/1/20,2/8/20,2/15/20,2/22/20,2/29/20,3/7/20,3/14/20,3/21/20,3/28/20,4/4/20,4/11/20,4/18/20,4/25/20,5/2/20,5/9/20,5/16/20,5/23/20,5/30/20,6/6/20,6/13/20,6/20/20,6/27/20,7/4/20,7/11/20,7/18/20,7/25/20,8/1/20,8/8/20,8/15/20,8/22/20,8/29/20,9/5/20,9/12/20,9/19/20,9/26/20,10/3/20,10/10/20,10/17/20,10/24/20,10/31/20,11/7/20,11/14/20,11/21/20,11/28/20,12/5/20,12/12/20,12/19/20,12/26/20,1/2/21,1/9/21,1/16/21,1/23/21,1/30/21,2/6/21,2/13/21,2/20/21,2/27/21,3/6/21,3/13/21,3/20/21,3/27/21,4/3/21,4/10/21,4/17/21,4/24/21,5/1/21,5/8/21,5/15/21,5/22/21,5/29/21,6/5/21,6/12/21,6/19/21,6/26/21,7/3/21,7/10/21,7/17/21,7/24/21,7/31/21,8/7/21,8/14/21,8/21/21,8/28/21,9/4/21,9/11/21,9/18/21,9/25/21,10/2/21,10/9/21,10/16/21,10/23/21,10/30/21,11/6/21,11/13/21,11/20/21,11/27/21,12/4/21,12/11/21,12/18/21,12/25/21,1/1/22,1/8/22,1/15/22,1/22/22,1/29/22,2/5/22,2/12/22,2/19/22,2/26/22,3/5/22,3/12/22,3/19/22,3/26/22,4/2/22,4/9/22,4/16/22,4/23/22,4/30/22,5/7/22,5/14/22,5/21/22,5/28/22,6/4/22,6/11/22,6/18/22,6/25/22,7/2/22,7/9/22,7/16/22,7/23/22,7/30/22,8/6/22,8/13/22,8/20/22,8/27/22,9/3/22,9/10/22,9/17/22,9/24/22,10/1/22,10/8/22,10/15/22,10/22/22,10/29/22,11/5/22,11/12/22,11/19/22,11/26/22,12/3/22,12/10/22,12/17/22,12/24/22,12/31/22,1/7/23,1/14/23,1/21/23,1/28/23,2/4/23,2/11/23,2/18/23,2/25/23,3/4/23,3/11/23,3/18/23,3/25/23,4/1/23,4/8/23,4/15/23,4/22/23,4/29/23,5/6/23,5/13/23,5/20/23,5/27/23,6/3/23,6/10/23,6/17/23,6/24/23,7/1/23,7/8/23,7/15/23,7/22/23,7/29/23,8/5/23,8/12/23,8/19/23,8/26/23,9/2/23
102001,0,United States,country,,259900,259900,260000,264000,265000,269000,269900,270000,275000,275000,279000,279000,279999,284900,285000,288000,289500,289900,289900,289900,289999,289990,289900,289990,289900,289900,289900,289900,289900,289000,289000,288320,287500,285900,287500,289000,289000,288790,287900,287000,286000,285000,285000,284900,284900,283900,280000,280000,279900,279900,279900,279900,279900,279900,280000,283000,285000,285000,289000,289900,294900,295000,299000,299000,299900,299900,299999,304500,308000,309900,310000,310000,310000,310000,310000,310000,310000,310000,309363,309000,305000,305000,300000,299999,299900,299900,299900,299900,299900,299900,299900,299500,299000,299000,299000,297900,295000,295000,294900,289999,289900,289800,289900,289000,289000,289000,289900,289900,293763,295000,298000,299000,299900,300000,300000,304000,303490,304900,305000,307900,309900,312000,315000,318000,319900,320000,324900,325000,325000,325000,327500,328990,329000,329000,329000,329000,328900,327900,325000,329000,329000,329000,329000,329000,329000,327000,326650,325000,324900,323000,320970,319900,319000,315000,315000,314900,310000,310000,315000,319000,319900,321000,325000,325000,329000,330000,335000,339000,339900,345000,349000,349900,349950,350000,350000,350000,350000,350000,350000,350000,353000,350000,350000,350000,350000,350000,349995,349900,349900,349900,349900,349900,349900,349900,349900,349900,349900,349900,349000,349000,345900,345000,342000,339900,339000,335000,330000,329000,329900,335000,339000,339900,,349900,350000,350000,359500,360000,369000,370000,375000,379900,379999,388266,395000,399000,399900,399999,400000,409900,409900,410000,414900,410000,415000,414500,411000,410000,405000,400000,400000,399999,399900,399900,399900,399900,399900,399000,399000,399000,395000,395000,389999,389900,389500,385000,384900,380000,380000,379900,379000,379000,379900,379900,384900,384000,385000,386000,389900,390000,395000,398900,399000,399000,399900,399999,400000,409900,410000,415000,415000,419000,415000,417000,419900,418500,419500,415000,415000,413000,410000,409000,405000,400000,400000
394913,1,"New York, NY",msa,NY,499000,499000,499000,499999,525000,519900,519879,525000,529000,525000,529000,535000,529888,536815,539900,549000,549000,549500,549990,549900,549999,549900,549990,549900,549900,549888,549000,549000,549000,545000,540000,539900,539007,539900,545000,549000,549000,549000,549000,549000,549000,549000,549000,549000,549000,549000,547000,545000,539900,539000,539888,539000,535000,535000,539000,539000,545000,545000,549000,549000,549900,550000,550000,550000,559000,565000,565000,569000,569000,569000,569000,569900,570000,574000,569999,569900,569000,565000,560000,559895,559000,559000,558000,555000,550000,550000,559000,560000,564900,565000,568000,565000,565700,565000,565000,560000,560000,560000,569000,565000,565000,565000,569000,565000,560000,559000,559000,559688,559900,565000,565000,569900,579000,575000,575000,575000,579000,579000,579000,579000,579000,579000,579000,579000,579999,580000,585000,589000,589900,595000,599000,599000,599000,599900,600000,600000,609000,610000,615000,619000,625000,629000,629000,629789,635000,635000,639000,638000,635000,630000,638000,629900,629000,625000,629000,629000,625000,599900,,625000,629000,600000,630000,629000,629000,628000,625000,625000,619000,619000,619000,619900,619000,619000,625000,619000,610000,610000,599999,599990,599900,599000,599000,599000,599000,599000,595000,589000,589000,588888,585900,590000,590000,595000,595000,597888,595000,595000,597000,596500,595000,589999,589900,580000,595000,595000,599000,599000,599000,599000,599000,599000,599000,599000,599900,599999,600000,609000,615000,624500,625000,629000,625000,629000,635000,639000,640000,648000,645999,649000,648000,639000,638000,629000,629000,629900,629000,628000,625000,625000,619900,619000,619000,622000,630000,630000,639000,639999,640000,640000,644900,640000,639900,639000,640000,639000,639000,635000,639000,639000,639999,638000,639000,640000,649000,649000,649999,650000,659000,663000,669000,675000,675000,675000,679000,689000,692315,699000,699000,699000,699800,699999,699900,699000,699000,699000,699999,699888,699000,699000,699000,699000,698000,699000,699000
753899,2,"Los Angeles, CA",msa,CA,750000,758000,757500,750000,755000,768000,775000,779000,786500,775000,795000,795000,799000,799500,799000,799000,799000,799900,799900,799000,799500,799000,799000,799900,799000,799000,795000,795000,785999,780000,779000,769000,762500,759000,759925,759900,759000,750000,750000,750000,749999,749900,749000,748000,740750,745000,739000,735000,730000,729900,730000,729000,729000,728000,729000,729000,729900,735000,740000,748840,749000,749900,759000,765000,769999,775000,779000,785000,789000,789000,798000,799000,799000,799000,799500,799888,799000,799000,799000,799000,799000,799900,799625,799825,799900,799000,799000,799000,799000,799000,799000,799000,799000,799800,799900,799900,799000,799000,800000,799251,799000,799000,,,,,800000,809450,810000,825000,839000,849000,850000,859444,850000,849000,839000,829999,826500,825000,825000,829000,840000,849000,850000,850000,869000,875000,885000,895000,899000,890000,899000,899000,899000,899000,899000,899000,895000,895000,899000,899000,899000,899000,899000,899900,899000,899900,899999,899950,925000,909163,899900,899990,929000,945845,919999,899000,899000,899000,899000,899900,900000,919000,905000,918000,920000,925000,925000,928040,924900,925000,939000,939000,930000,929000,940000,939900,939000,929000,925000,929900,930000,919000,900000,899000,899000,899000,895000,892000,890000,895000,895000,895000,898000,895000,899000,899000,895000,889900,890000,889000,890000,879000,880950,880000,888000,898000,895000,895000,898500,899000,899000,899000,899999,920000,925000,930500,937611,949000,948000,949000,945000,949900,950000,950000,950000,950000,950000,953000,955000,950000,950000,949000,949000,949000,935000,929000,925000,925000,925000,925000,915000,921000,910000,900000,900000,899900,899000,899000,899000,899000,899000,899000,899000,899000,899000,899000,899000,899000,899000,899000,899000,899000,899999,901750,925000,929000,949000,945000,949900,950000,968000,975000,999000,999000,1000000,1000000,,1050000,1075000,1099000,1098000,1099000,1099000,1099999,1110000,1100000,1100000,1100000,1099000,1098000,1085000,1090000,1092944
394463,3,"Chicago, IL",msa,IL,279500,279900,284900,285000,292900,299000,299900,304999,314500,310000,319000,319000,324900,325000,325000,325000,328749,326000,329490,329000,329000,325900,325000,324900,323000,320000,319800,319000,319000,315000,314900,314000,310000,310000,310000,309900,309000,305950,300000,300000,299900,299900,299500,298500,295000,295000,289900,289000,289000,285000,285000,285000,285000,289000,289900,295000,299000,299900,300000,309000,315000,315500,319900,324000,325000,325000,325000,329000,329000,329650,329900,329900,329999,329900,329000,325000,325000,325000,324900,322000,320000,319900,319000,315000,315000,314900,314900,310000,309900,309900,309000,300000,300000,299900,299900,299000,297900,295000,294900,289900,289900,289000,289900,289484,289000,289900,290000,294999,299900,300000,305000,309900,315000,315000,317500,315500,314900,314900,313990,314000,314900,315000,315000,319000,319900,320000,324900,325000,325000,325500,327500,329000,329000,329050,329000,329000,329000,329900,329000,329900,329000,327900,327000,325000,324999,324500,324900,319900,319000,316000,315900,314900,309000,304900,309000,305000,304950,299000,299000,309900,314900,319000,319900,321450,324900,324900,324900,324900,320000,324900,325000,325000,325000,329500,329900,330000,329900,329900,329000,329900,329900,325900,327000,325000,325000,324900,320000,319900,319000,315000,315000,315000,314900,312000,310000,309990,309900,305000,300000,299900,299900,299000,297839,294900,290000,289000,287000,285000,285000,289000,289900,290000,295000,299000,299900,309000,310000,310000,315000,315000,319700,325000,325000,329999,330000,335000,334900,339000,339000,340000,339900,339900,339900,339000,339000,339000,335000,335000,333900,330000,329900,329900,329000,329000,329000,325000,325000,320000,320000,320000,319900,319000,314900,314000,310000,305000,300000,299999,299900,299900,299900,299900,299999,300000,309000,309900,314900,315000,319000,320000,324990,329000,329900,329900,335000,340000,345000,349000,349900,349900,349900,350000,352000,355000,359000,359000,360000,359900,359000,355950,354500,354900,355000,354900,350000
394514,4,"Dallas, TX",msa,TX,331300,331590,335000,337800,339900,340000,345000,347900,349825,345000,349101,349900,350000,350000,350000,350900,354900,354000,350771,350000,350000,349900,349900,349000,345000,344900,339900,339900,339000,335000,333500,334000,333000,330000,329900,329900,330000,329900,329500,329000,329900,329900,329900,327990,325588,327900,325000,325000,325000,325000,325000,325000,325000,324900,324900,325000,325000,329000,329900,330000,334900,335000,339000,340000,344900,345000,348945,349499,349000,349900,349900,349900,349900,349900,349000,345000,345000,345000,340445,339900,339000,337900,335000,335000,335000,334900,334000,330000,330000,330000,329995,329900,329900,329900,329900,329867,329000,329000,329000,326750,325000,324900,325000,325000,322000,324900,324990,325000,325000,325025,329000,329900,330000,335000,334900,332900,332500,330000,330000,330000,334200,335000,339000,340000,344900,345000,345900,349000,349624,349900,349900,349900,349900,349955,349900,349500,349000,349900,349900,349950,349900,349900,349000,349900,349900,349000,348096,347000,345900,344900,347992,345000,343762,340000,345000,345000,344663,340000,340000,344900,340000,344900,350000,349900,349900,349900,350000,353215,356600,359718,360870,365000,370000,374000,374204,373000,375000,378000,377920,379000,380000,380000,383960,385000,387185,387955,385000,385000,384000,385000,387750,389900,389900,388268,389000,385000,386000,387723,389500,390000,393000,394000,397000,395000,392400,393000,395000,399000,397000,394900,395000,399000,400000,400000,400000,409711,414900,420000,419900,419900,425000,425000,425000,436000,440000,449000,449000,449900,450000,455000,454000,460000,464900,459000,465000,459999,454990,450000,449900,449000,442950,440000,436000,436000,435000,430000,429000,425000,425000,425000,425000,424000,419000,415000,415500,415000,410000,405000,400000,400000,399900,399350,399900,399900,399999,399900,399999,404000,410000,415000,415000,420000,425000,430000,440000,444900,449850,450000,450000,458990,459900,460000,460000,460000,460000,459000,460000,459900,459900,459000,450000,450000,450000,449900,449900
394692,5,"Houston, TX",msa,TX,300000,305000,305000,308000,309900,310000,313000,315000,319850,315000,319900,319900,320000,324900,324900,324900,325000,325000,325000,325000,325000,324993,324900,324900,320000,319900,319000,315000,314900,312500,310000,309975,309900,309000,308000,307200,305000,305000,300000,302000,300000,300000,300000,300000,299999,300000,299900,299900,299900,299900,299900,299500,299000,299000,299000,299500,299999,299999,305000,309000,309900,310000,314000,315000,315000,319000,319900,320000,320000,320000,320000,320000,320000,319900,319000,317500,315000,315000,314900,312000,310000,310000,308500,306999,305000,300000,300000,299999,299999,299990,299900,299913,299900,299900,299500,299000,299000,299000,299000,298900,298000,295900,298000,296990,295000,295000,295000,295000,297000,299000,299000,299990,307500,309900,309900,309900,309900,309000,309900,310000,310000,315000,315000,318950,319900,320000,323000,324900,325000,325000,325000,325000,329000,329000,329000,329900,329990,334900,330000,335000,335000,338000,335000,339000,338000,335000,335000,335000,335000,335000,338000,335000,335000,335000,338980,339000,335000,335000,334500,335000,330000,332500,342950,339900,339999,339900,345000,342400,349000,349000,349000,349900,350000,350000,350000,355500,357950,359000,355000,359000,358000,359000,359900,359000,359000,355000,355000,359000,351950,354900,355000,355000,355000,350000,350000,350000,350000,350000,350000,349900,349900,349900,350000,349900,349000,349000,349000,349000,342000,340000,339900,339999,339900,340000,345000,349000,350000,350000,350000,359000,359500,364650,369000,374945,375000,375000,379900,384900,387000,389000,385000,385000,388800,385000,385000,380000,379650,379725,375000,375000,370000,369000,367000,365000,364900,360000,360000,359900,359900,359900,359000,359000,355000,351000,350000,350000,349900,349900,349900,349999,349900,349000,349500,349000,349900,349900,349900,349999,350000,354900,355000,359000,360000,363500,369000,370000,370000,375000,375000,375000,378000,379000,379925,379000,380000,379999,380000,380000,380000,379900,379000,375000,375000,374000,369900
395209,6,"Washington, DC",msa,VA,399000,399898,399900,399900,400000,409250,414900,420000,425000,429900,435000,435000,439900,439000,439900,442000,444900,449900,450000,449900,460000,460000,462500,460000,459900,455000,450000,450000,449900,449900,445000,439900,439500,435000,439900,439990,440000,439900,439000,439500,435000,430000,430000,429000,425000,424900,419500,414500,401900,400000,400000,399950,399999,399990,400000,414900,419250,420000,425000,429989,435000,440000,449000,449900,450000,459900,459000,464990,465000,468000,474900,473450,474900,474950,472500,474500,470000,465450,460000,460000,459900,459000,450000,450000,450000,450000,459999,464900,464900,462500,460000,459900,455000,452000,455000,454900,450000,449900,449900,445000,442700,439900,439900,439000,439000,439800,440000,445000,449900,450000,456000,465000,475000,474900,475000,480000,484900,479900,475000,475000,477500,480000,485000,485000,495000,499000,499900,500000,499900,499900,499000,499000,499900,499900,499000,495000,489900,485000,475000,475000,475000,474900,469950,479900,475000,474900,474900,469000,467900,464374,459000,452500,451170,449900,449995,445594,445000,440000,447000,449000,445000,445000,445000,450000,450000,449900,450000,465000,455000,467000,470000,474900,475000,475000,475000,485000,475000,475000,480000,485000,489000,475000,475000,475000,475000,475000,475000,474900,475000,474990,469900,479900,480000,480000,479950,479000,475500,475000,475000,475000,474500,465000,454000,450000,449900,449000,440000,439900,445000,449900,450000,450000,460000,472000,480000,486786,499000,495000,499900,499900,514900,525000,515000,525000,539900,539900,549000,549999,549000,549900,550000,550000,550000,549900,549970,549500,545000,540000,539500,539000,530000,535000,533500,539000,544000,544900,539900,539000,539500,539900,539900,535450,527495,525000,525000,519900,519000,517500,515000,510000,511990,519000,519000,520000,525000,525000,529000,539999,549900,550000,550000,569000,579500,574900,575000,580000,590000,595000,594900,599900,599900,599999,599900,599900,605000,600000,599900,599900,599900,595000,585000,584990,579000,575000,570000
394974,7,"Philadelphia, PA",msa,PA,220000,220000,220000,220000,224900,225000,225000,229900,229900,234000,236000,237000,239900,244900,247500,249900,249999,250000,255000,259000,259900,259900,259900,260000,264900,259900,259900,259900,259900,259000,255000,250000,250000,250000,254500,250000,250000,250000,253700,250000,250000,249900,250000,249900,249900,249000,245000,242000,239900,239000,235000,235000,235000,234900,232900,234900,235000,235000,239900,240000,244999,249000,249900,249975,254990,259900,259900,264900,269000,269900,270000,274900,275000,275000,275000,275000,275000,275000,275000,275000,275000,275000,275000,274900,275000,274999,275000,275000,279000,279500,279900,279000,275000,275000,274900,274900,269900,269900,269000,264900,260000,259900,259900,259900,259000,259000,259900,259900,260000,264900,265000,269000,269900,270000,274900,274900,274900,275000,275000,275000,279000,279900,282500,289900,294900,295000,299000,299900,299999,299900,300000,305000,300000,300000,304900,300000,299900,299900,296250,295000,294900,290000,289900,299900,299900,299900,299900,299900,299000,294900,289998,289000,287900,284900,280000,279000,275000,275000,274000,274900,275000,275000,275000,279000,279900,279900,284900,289900,289600,295000,299000,299000,299900,299900,299900,300000,299900,299999,300000,305000,300000,299900,299900,299900,299900,299900,299000,299000,299000,299000,298000,299000,299000,299000,299000,299000,299000,294000,289900,289900,287500,285000,280000,279900,275000,274900,269900,268000,270000,274000,274500,270000,275000,275000,275000,279000,279900,284900,289000,289900,297900,299900,295000,299900,305000,304950,310000,319000,315000,315000,315215,319900,320000,316150,319000,319000,317500,315000,310000,309900,309000,308325,300000,309900,309900,309900,309000,305000,308545,305000,305000,300000,300000,299900,299900,299000,295000,290000,289000,285000,289900,289900,290000,290000,289900,289900,289993,290000,290000,290000,295000,299000,299000,299000,299900,300000,307000,310000,310000,315000,309900,310000,315000,319900,319875,315000,315000,319500,319000,314362,310000,318000,315000,315000,310000
394856,8,"Miami, FL",msa,FL,380000,380000,384000,380000,380000,380000,380000,380000,385000,384000,385000,385000,388000,387000,388000,389000,389000,389000,389000,385000,389000,389000,389000,389000,387500,389000,385000,385000,385000,385000,383000,383000,380000,380000,380000,380000,379900,379000,379000,379000,379000,379000,379000,379000,379000,379900,379000,379000,379000,379000,379900,379000,375950,375000,375000,375000,375000,375000,375000,375000,375000,,379000,379000,379900,379999,380000,384900,385000,385000,387000,389000,389000,389000,389000,389000,389500,390000,389999,389900,390000,390000,390000,390000,389000,389900,389000,389000,389000,388900,389000,389000,388800,389000,389000,389000,389000,389000,389900,389000,389000,389000,389900,389900,389000,386000,387000,385000,385000,385000,387500,388111,389000,389000,389650,389000,387000,385000,384900,,380000,379900,379000,379000,380000,381900,380000,380000,380000,380000,380000,380000,383000,385000,384990,385000,385000,385000,387000,389000,389000,389000,389000,389900,390000,390000,390000,389900,389000,389000,389000,389000,385000,385000,385000,380000,379500,378900,380000,380000,380000,380000,384900,384900,384999,385000,389000,390000,393900,395000,399000,399000,399900,400000,410000,415000,419900,420000,425000,425000,430000,435000,439940,437500,438000,440000,440000,444700,445000,445000,445945,449000,449000,449000,449900,450000,450000,450000,455000,459000,459000,460000,467900,465000,465000,470000,470000,473000,469500,465000,469900,475000,480000,485000,490000,495000,499000,499999,512450,525000,535000,539000,545000,550000,550000,560000,575000,579900,584999,590000,590000,594900,595000,595000,595500,590000,589000,589000,585000,579900,575000,575000,575000,575000,575000,575000,577250,575000,575000,575000,575000,575000,575000,569944,575000,569900,570000,569900,569900,574000,569000,565000,565000,565000,565000,565000,569000,569000,569000,570000,575000,579000,579900,580000,585000,589000,585000,580000,580000,585000,585000,589000,583108,585000,588500,589000,589000,585000,585000,585000,585000,580000,580000,580000,579900
394347,9,"Atlanta, GA",msa,GA,289900,294700,295000,299000,299000,299900,300000,305000,313000,313495,320000,324900,325000,325000,329625,330000,329900,330000,330000,334900,335000,329900,329000,329000,325000,324900,319900,315000,315000,311000,310000,309900,307000,309000,305000,302000,304900,300000,300000,300000,299900,299900,299900,299000,298000,299000,295000,295000,295000,292900,295000,291000,289900,289900,289900,289900,294000,295000,298000,299900,300000,309000,314201,315000,319900,324900,325000,326900,329000,329900,329900,329000,329900,329547,328946,325000,325000,325000,324900,324000,320000,320000,319900,319900,319000,315900,315000,314900,314900,314220,310000,309900,309500,309900,309900,308490,308900,305000,309000,300000,299999,299900,300000,299900,299900,299900,299999,300000,300000,305900,309500,310000,314900,315225,315825,315000,312525,310400,310000,314000,315000,319000,319000,320000,324900,325000,329000,329900,334500,335000,335000,337434,339000,335000,335900,335000,335000,335000,338500,337900,334900,334900,330000,330000,330900,330000,330000,329000,325000,325000,329000,325000,325000,324900,325000,325000,325000,325000,325000,325000,325000,325000,329900,334245,335000,339000,340000,349000,349900,350000,355000,355000,359000,359000,359900,360000,364999,365000,365000,365000,369900,368000,369900,368990,365000,365000,359900,359900,360000,360000,360000,360000,360000,360000,359900,359900,359000,358050,360000,359900,359000,359000,359000,350000,350000,350000,350000,349999,350000,350000,350000,350000,350000,350000,350000,350000,352550,357000,359900,360000,367000,370000,375000,379000,384900,385000,390000,397000,395000,399900,399900,400000,400000,399900,399900,399000,397000,395000,391000,389500,386000,385000,385000,384900,380000,380000,381000,380000,379900,375000,375000,375000,374900,370000,370000,369000,367000,364900,361000,360000,360000,359900,360000,360000,359900,359900,360000,360000,364900,365000,367500,370000,375000,375000,379900,385000,385000,389900,395000,395000,395000,398900,399000,399000,399900,399900,399900,399900,399000,399000,399900,399000,397900,395000,395000
